query	database.subject	pid	aln.length	mismatches	gap.openings	query.start	query.end	subj.start	subj.end	e.value	bit.score	protein	species	length	subj.name	subj.gene.cluster	subj.gene.call	hit.id
WP_014325310.1	c_000000001037	33.333	30	20	0	4	33	150	179	7.1	26.6	GlpO	Mycoplasmoides.pneumoniae	394	REF_Mycoplasma_iowae	GC_00004992	224	35
WP_014325310.1	c_000000001337	24.324	37	28	0	3	39	2	38	7.3	26.6	GlpO	Mycoplasmoides.pneumoniae	394	MAG01_Mycoplasma_salmoninae	GC_00000472	40046	36
WP_014325310.1	c_000000005381	28.814	59	39	2	316	374	644	699	8.3	26.6	GlpO	Mycoplasmoides.pneumoniae	394	REF_Mycoplasma_iowae	GC_00005121	143	37
WP_014325310.1	c_000000003204	43.75	32	18	0	166	197	206	237	9.3	26.6	GlpO	Mycoplasmoides.pneumoniae	394	REF_Mycoplasma_penetrans	GC_00000264	848	38
WP_014325310.1	c_000000001864	37.143	35	22	0	5	39	8	42	9.4	26.2	GlpO	Mycoplasmoides.pneumoniae	394	MAG04_Mycoplasma_sp	GC_00003296	39290	39
WP_014325497.1	c_000000003254	24.89	683	396	23	6	588	13	678	9.8e-35	137	CARDS	Mycoplasmoides.pneumoniae	574	REF_Mycoplasma_iowae	GC_00002834	67	40
WP_014325497.1	c_000000005141	27.143	210	131	6	2	197	17	218	2.99e-12	67.4	CARDS	Mycoplasmoides.pneumoniae	574	REF_Mycoplasma_iowae	GC_00001594	68	41
WP_014325497.1	c_000000005141	27.304	293	185	16	316	587	387	672	2.68e-10	61.2	CARDS	Mycoplasmoides.pneumoniae	574	REF_Mycoplasma_iowae	GC_00001594	68	42
WP_014325497.1	c_000000000907	26.794	209	140	6	4	203	22	226	3.4e-11	63.9	CARDS	Mycoplasmoides.pneumoniae	574	REF_Mycoplasma_penetrans	GC_00005088	912	43
WP_014325497.1	c_000000000907	21.769	147	88	4	442	568	485	624	0.038	35	CARDS	Mycoplasmoides.pneumoniae	574	REF_Mycoplasma_penetrans	GC_00005088	912	44
WP_014325497.1	c_000000006251	24.627	134	96	1	227	360	891	1019	0.45	31.6	CARDS	Mycoplasmoides.pneumoniae	574	REF_Mycoplasma_mobile	GC_00000477	289	45
WP_014325497.1	c_000000002015	39.394	33	16	1	396	428	447	475	4.6	28.1	CARDS	Mycoplasmoides.pneumoniae	574	MAG01_Mycoplasma_salmoninae	GC_00000286	40193	46
WP_014325497.1	c_000000005398	25	48	36	0	214	261	293	340	7.8	27.3	CARDS	Mycoplasmoides.pneumoniae	574	MAG05_Mycoplasma_sp	GC_00001191	36562	47
WP_014325497.1	c_000000005397	25	48	36	0	214	261	293	340	7.8	27.3	CARDS	Mycoplasmoides.pneumoniae	574	MAG03_Mycoplasma_sp	GC_00001191	26848	48
WP_014325497.1	c_000000000710	34.211	38	24	1	447	483	175	212	7.8	27.3	CARDS	Mycoplasmoides.pneumoniae	574	REF_Ureaplasma_diversum	GC_00001504	67	49
WP_014325497.1	c_000000005698	28.947	38	27	0	269	306	149	186	9.4	27.3	CARDS	Mycoplasmoides.pneumoniae	574	MAG04_Mycoplasma_sp	GC_00004021	39668	50
WP_014574360.1	c_000000006252	39.568	278	120	8	9	240	15	290	9.26e-50	163	GlpF	Mycoplasmoides.gallisepticum	249	REF_Mycoplasma_iowae	GC_00002283	740	51
WP_014574360.1	c_000000003982	38.202	267	129	7	8	240	8	272	6.31e-47	155	GlpF	Mycoplasmoides.gallisepticum	249	REF_Mycoplasma_penetrans	GC_00002518	635	52
WP_014574360.1	c_000000006404	32.669	251	126	10	11	233	11	246	8.53e-29	107	GlpF	Mycoplasmoides.gallisepticum	249	REF_Mycoplasma_mobile	GC_00005012	301	53
WP_014574360.1	c_000000002324	29.707	239	136	7	22	233	32	265	5.32e-23	92.4	GlpF	Mycoplasmoides.gallisepticum	249	MAG03_Mycoplasma_sp	GC_00000698	26874	54
WP_014574360.1	c_000000002325	32.922	243	127	8	11	224	21	256	4.47e-21	87.4	GlpF	Mycoplasmoides.gallisepticum	249	MAG05_Mycoplasma_sp	GC_00000698	36626	55
WP_014574360.1	c_000000003572	26.829	82	56	2	100	181	40	117	0.8	28.5	GlpF	Mycoplasmoides.gallisepticum	249	REF_Mycoplasma_mobile	GC_00003670	470	56
WP_020862586.1	c_000000003982	40.449	267	138	7	6	254	8	271	3.1e-49	161	GlpF	Mycoplasma.mycoides	263	REF_Mycoplasma_penetrans	GC_00002518	635	57
WP_020862586.1	c_000000006252	36.655	281	139	9	7	254	15	289	1.17e-44	150	GlpF	Mycoplasma.mycoides	263	REF_Mycoplasma_iowae	GC_00002283	740	58
WP_020862586.1	c_000000006404	36	250	136	5	9	248	11	246	1.75e-38	133	GlpF	Mycoplasma.mycoides	263	REF_Mycoplasma_mobile	GC_00005012	301	59
WP_020862586.1	c_000000002324	35.146	239	128	6	20	242	32	259	4.93e-33	119	GlpF	Mycoplasma.mycoides	263	MAG03_Mycoplasma_sp	GC_00000698	26874	60
WP_020862586.1	c_000000002325	37.052	251	121	8	9	238	21	255	2.75e-32	117	GlpF	Mycoplasma.mycoides	263	MAG05_Mycoplasma_sp	GC_00000698	36626	61
WP_020862586.1	c_000000001217	26.154	65	47	1	107	170	187	251	0.002	37.4	GlpF	Mycoplasma.mycoides	263	MAG05_Mycoplasma_sp	GC_00002496	36699	62
WP_020862586.1	c_000000001947	50	20	10	0	98	117	736	755	1.5	28.1	GlpF	Mycoplasma.mycoides	263	MAG05_Mycoplasma_sp	GC_00000704	36463	63
WP_020862586.1	c_000000003621	37.037	27	17	0	11	37	1573	1599	5.9	26.6	GlpF	Mycoplasma.mycoides	263	MAG04_Mycoplasma_sp	GC_00000877	39654	64
WP_020862587.1	c_000000002845	56.233	361	156	2	21	379	21	381	5.58e-136	392	GlpO	Mycoplasma.mycoides	397	REF_Mycoplasma_penetrans	GC_00000412	634	65
WP_020862587.1	c_000000002843	56.749	363	155	2	21	381	21	383	6.55e-131	379	GlpO	Mycoplasma.mycoides	397	REF_Mycoplasma_iowae	GC_00000412	739	66
WP_020862587.1	c_000000002844	51.84	326	155	2	23	346	23	348	6.49e-113	333	GlpO	Mycoplasma.mycoides	397	REF_Mycoplasma_mobile	GC_00000412	303	67
WP_020862587.1	c_000000004829	43.243	37	21	0	5	41	6	42	0.047	33.5	GlpO	Mycoplasma.mycoides	397	REF_Mycoplasma_iowae	GC_00002243	314	68
WP_020862587.1	c_000000008094	46.667	30	16	0	6	35	2	31	0.13	32	GlpO	Mycoplasma.mycoides	397	REF_Mycoplasma_mobile	GC_00000363	429	69
WP_020862587.1	c_000000001864	25	60	43	1	2	59	3	62	0.44	30.4	GlpO	Mycoplasma.mycoides	397	MAG04_Mycoplasma_sp	GC_00003296	39290	70
WP_020862587.1	c_000000004156	33.333	30	20	0	9	38	10	39	1	29.3	GlpO	Mycoplasma.mycoides	397	REF_Mycoplasma_mobile	GC_00002403	181	71
WP_020862587.1	c_000000007132	28.03	132	73	5	123	242	476	597	1.3	29.3	GlpO	Mycoplasma.mycoides	397	MAG01_Mycoplasma_salmoninae	GC_00005057	39885	72
WP_020862587.1	c_000000001337	44.828	29	16	0	7	35	4	32	1.4	28.9	GlpO	Mycoplasma.mycoides	397	MAG01_Mycoplasma_salmoninae	GC_00000472	40046	73
WP_020862587.1	c_000000000782	21.374	131	89	5	58	183	1264	1385	1.9	28.9	GlpO	Mycoplasma.mycoides	397	REF_Mycoplasma_penetrans	GC_00000835	91	74
WP_020862587.1	c_000000005421	31.343	67	34	2	233	299	197	251	2.2	28.1	GlpO	Mycoplasma.mycoides	397	MAG03_Mycoplasma_sp	GC_00001257	26735	75
WP_020862587.1	c_000000004061	30.645	62	39	2	150	208	59	119	2.2	28.1	GlpO	Mycoplasma.mycoides	397	MAG01_Mycoplasma_salmoninae	GC_00001961	40099	76
WP_020862587.1	c_000000000884	32.653	49	32	1	148	195	27	75	3.5	27.7	GlpO	Mycoplasma.mycoides	397	REF_Mycoplasma_penetrans	GC_00004784	383	77
WP_020862587.1	c_000000000781	25	64	47	1	90	152	1299	1362	3.5	28.1	GlpO	Mycoplasma.mycoides	397	REF_Mycoplasma_penetrans	GC_00000835	90	78
WP_020862587.1	c_000000007953	20.526	190	119	6	35	202	336	515	8.8	26.6	GlpO	Mycoplasma.mycoides	397	REF_Ureaplasma_urealyticum	GC_00001487	103	79
WP_020862587.1	c_000000005537	26.136	88	47	3	1	82	1	76	8.8	26.6	GlpO	Mycoplasma.mycoides	397	REF_Mycoplasma_iowae	GC_00002979	916	80
WP_020862587.1	c_000000003715	30.12	83	53	3	144	223	8	88	9.5	26.2	GlpO	Mycoplasma.mycoides	397	MAG04_Mycoplasma_sp	GC_00000246	39532	81
WP_020862587.1	c_000000007394	24.638	69	50	1	266	334	107	173	9.7	26.6	GlpO	Mycoplasma.mycoides	397	MAG05_Mycoplasma_sp	GC_00000312	36241	82
WP_020862587.1	c_000000000575	35.484	31	20	0	10	40	179	209	9.7	26.2	GlpO	Mycoplasma.mycoides	397	REF_Mycoplasma_penetrans	GC_00000325	508	83
WP_069099393.1	c_000000002845	48.93	374	182	5	9	377	6	375	4.94e-112	330	GlpO	Mycoplasmataceae	389	REF_Mycoplasma_penetrans	GC_00000412	634	84
WP_069099393.1	c_000000002843	51.482	371	176	2	9	377	6	374	9.38e-112	330	GlpO	Mycoplasmataceae	389	REF_Mycoplasma_iowae	GC_00000412	739	85
WP_069099393.1	c_000000002844	46.006	363	188	4	6	364	3	361	1.89e-97	293	GlpO	Mycoplasmataceae	389	REF_Mycoplasma_mobile	GC_00000412	303	86
WP_069099393.1	c_000000001929	46.875	32	17	0	6	37	5	36	0.062	33.5	GlpO	Mycoplasmataceae	389	REF_Mycoplasma_penetrans	GC_00000102	168	87
WP_069099393.1	c_000000001931	43.75	32	18	0	6	37	5	36	0.094	32.7	GlpO	Mycoplasmataceae	389	REF_Ureaplasma_urealyticum	GC_00000102	43	88
WP_069099393.1	c_000000000575	43.59	39	22	0	6	44	1	39	0.17	32	GlpO	Mycoplasmataceae	389	REF_Mycoplasma_penetrans	GC_00000325	508	89
WP_069099393.1	c_000000005537	31.148	61	40	1	8	68	5	63	0.25	31.2	GlpO	Mycoplasmataceae	389	REF_Mycoplasma_iowae	GC_00002979	916	90
WP_069099393.1	c_000000004156	40	35	21	0	4	38	2	36	0.27	31.2	GlpO	Mycoplasmataceae	389	REF_Mycoplasma_mobile	GC_00002403	181	91
WP_069099393.1	c_000000003895	35.714	42	27	0	8	49	13	54	0.39	30.4	GlpO	Mycoplasmataceae	389	MAG05_Mycoplasma_sp	GC_00000057	36307	92
WP_069099393.1	c_000000001926	51.613	31	15	0	7	37	6	36	0.63	30	GlpO	Mycoplasmataceae	389	MAG04_Mycoplasma_sp	GC_00000102	38858	93
WP_069099393.1	c_000000001925	32.5	40	27	0	8	47	7	46	1.2	29.3	GlpO	Mycoplasmataceae	389	MAG02_Mycoplasma_sp	GC_00000102	35457	94
WP_069099393.1	c_000000003818	39.13	46	21	1	11	56	4	42	1.3	28.9	GlpO	Mycoplasmataceae	389	REF_Mycoplasma_mobile	GC_00003409	199	95
WP_069099393.1	c_000000003894	34.146	41	27	0	9	49	14	54	1.5	28.5	GlpO	Mycoplasmataceae	389	MAG03_Mycoplasma_sp	GC_00000057	26588	96
WP_069099393.1	c_000000006263	28.829	111	66	3	36	133	319	429	1.7	28.9	GlpO	Mycoplasmataceae	389	MAG04_Mycoplasma_sp	GC_00002655	38962	97
WP_069099393.1	c_000000001248	32.692	52	34	1	9	60	7	57	2	28.1	GlpO	Mycoplasmataceae	389	REF_Ureaplasma_diversum	GC_00000609	215	98
WP_069099393.1	c_000000004445	46.875	32	16	1	261	292	86	116	2.2	28.1	GlpO	Mycoplasmataceae	389	REF_Mycoplasma_iowae	GC_00003126	386	99
WP_069099393.1	c_000000001864	27.273	55	38	1	9	61	7	61	2.7	28.1	GlpO	Mycoplasmataceae	389	MAG04_Mycoplasma_sp	GC_00003296	39290	100
WP_069099393.1	c_000000001337	45.161	31	17	0	10	40	4	34	3.8	27.3	GlpO	Mycoplasmataceae	389	MAG01_Mycoplasma_salmoninae	GC_00000472	40046	101
WP_069099393.1	c_000000001793	30.12	83	44	2	240	322	120	188	4	27.3	GlpO	Mycoplasmataceae	389	REF_Mycoplasma_mobile	GC_00003257	66	102
WP_069099393.1	c_000000006914	29.268	82	56	2	67	147	44	124	4.2	26.9	GlpO	Mycoplasmataceae	389	MAG03_Mycoplasma_sp	GC_00005046	26548	103
WP_069099393.1	c_000000001928	41.379	29	17	0	9	37	8	36	4.3	27.3	GlpO	Mycoplasmataceae	389	REF_Mycoplasma_iowae	GC_00000102	569	104
WP_069099393.1	c_000000003897	44.737	38	19	1	1	38	8	43	4.5	27.3	GlpO	Mycoplasmataceae	389	MAG01_Mycoplasma_salmoninae	GC_00000057	39854	105
WP_069099393.1	c_000000005144	29.73	37	26	0	5	41	2	38	5.7	26.9	GlpO	Mycoplasmataceae	389	MAG03_Mycoplasma_sp	GC_00000327	26870	106
WP_069099393.1	c_000000001582	36.364	33	21	0	6	38	1	33	6.4	26.6	GlpO	Mycoplasmataceae	389	REF_Ureaplasma_diversum	GC_00001560	410	107
WP_069099393.1	c_000000003864	26	150	97	4	184	322	258	404	7.7	26.6	GlpO	Mycoplasmataceae	389	REF_Mycoplasma_mobile	GC_00004636	141	108
WP_069099393.1	c_000000005146	37.931	29	18	0	9	37	6	34	8	26.6	GlpO	Mycoplasmataceae	389	REF_Mycoplasma_mobile	GC_00000327	159	109
WP_069099393.1	c_000000000574	35.897	39	25	0	6	44	1	39	8.4	26.6	GlpO	Mycoplasmataceae	389	REF_Mycoplasma_iowae	GC_00000325	80	110
WP_069099393.1	c_000000006096	31.111	45	31	0	7	51	1	45	8.7	26.2	GlpO	Mycoplasmataceae	389	MAG02_Mycoplasma_sp	GC_00003224	35944	111
WP_069099393.1	c_000000000714	36.667	30	19	0	9	38	22	51	9.1	26.2	GlpO	Mycoplasmataceae	389	MAG05_Mycoplasma_sp	GC_00000597	36269	112
WP_069099393.1	c_000000005145	30.303	33	23	0	9	41	6	38	9.1	26.6	GlpO	Mycoplasmataceae	389	MAG05_Mycoplasma_sp	GC_00000327	36622	113
WP_129639296.1	c_000000006252	32.117	274	147	10	16	252	16	287	1.05e-34	124	GlpF	Mycoplasmoides.pneumoniae	263	REF_Mycoplasma_iowae	GC_00002283	740	114
WP_129639296.1	c_000000003982	34.686	271	138	13	13	251	5	268	1.46e-34	123	GlpF	Mycoplasmoides.pneumoniae	263	REF_Mycoplasma_penetrans	GC_00002518	635	115
WP_129639296.1	c_000000006404	35.409	257	147	11	8	253	2	250	3.98e-29	108	GlpF	Mycoplasmoides.pneumoniae	263	REF_Mycoplasma_mobile	GC_00005012	301	116
WP_129639296.1	c_000000002325	36.948	249	122	11	15	239	19	256	1.86e-19	83.2	GlpF	Mycoplasmoides.pneumoniae	263	MAG05_Mycoplasma_sp	GC_00000698	36626	117
WP_129639296.1	c_000000002324	32.222	270	157	12	4	254	8	270	4.13e-17	76.6	GlpF	Mycoplasmoides.pneumoniae	263	MAG03_Mycoplasma_sp	GC_00000698	26874	118
WP_129639296.1	c_000000007054	25.556	90	55	3	133	221	29	107	2.4	26.9	GlpF	Mycoplasmoides.pneumoniae	263	REF_Ureaplasma_urealyticum	GC_00000108	64	119
WP_129639296.1	c_000000006488	30.189	53	35	1	4	56	513	563	6.2	26.2	GlpF	Mycoplasmoides.pneumoniae	263	MAG05_Mycoplasma_sp	GC_00000585	36404	120
WP_129639296.1	c_000000000903	38.462	26	16	0	212	237	947	972	6.5	26.2	GlpF	Mycoplasmoides.pneumoniae	263	REF_Ureaplasma_urealyticum	GC_00003469	513	121
WP_129639296.1	c_000000004539	22.642	53	34	1	37	82	346	398	8.4	25.8	GlpF	Mycoplasmoides.pneumoniae	263	MAG01_Mycoplasma_salmoninae	GC_00000030	40212	122
