KOfam	KOfam_ACC	Pfam	Pfam_ACC	KEGG_Module_ACC	KEGG_Class	gene.short	Category
UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	K00677	Udp N-acetylglucosamine O-acyltransferase; Domain 2	PF13720.9	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxA	LPS
UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	K00677	Bacterial transferase hexapeptide (six repeats)	PF00132.27	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxA	LPS
lipid-A-disaccharide synthase [EC:2.4.1.182]	K00748	Lipid-A-disaccharide synthetase	PF02684.17	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxB	LPS
lipid-A-disaccharide synthase [EC:2.4.1.182]	K00748	Lipid-A-disaccharide synthetase	PF02684.18	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxB	LPS
UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]	K02535	UDP-3-O-acyl N-acetylglycosamine deacetylase	PF03331.15	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.LpxC	LPS
UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]	K02535	UDP-3-O-acyl N-acetylglycosamine deacetylase	PF03331.16	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.LpxC	LPS
UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]	K02536	Bacterial transferase hexapeptide (six repeats)	PF00132.26	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxD	LPS
UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]	K02536	Bacterial transferase hexapeptide (six repeats)	PF00132.27	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxD	LPS
lipid A 4'-phosphatase [EC:3.1.3.-]	K23159	PAP2 superfamily	PF01569.23	M00867	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxF	LPS
lipid A 4'-phosphatase [EC:3.1.3.-]	K23159	PAP2 superfamily	PF01569.24	M00867	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxF	LPS
"UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]"	K03269	Calcineurin-like phosphoesterase	PF00149.30	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxH	LPS
"UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]"	K03269	Calcineurin-like phosphoesterase superfamily domain	PF12850.9	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxH	LPS
"UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]"	K03269	Calcineurin-like phosphoesterase superfamily domain	PF12850.10	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxH	LPS
"UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]"	K03269	Calcineurin-like phosphoesterase	PF00149.31	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxH	LPS
tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	K00912	Tetraacyldisaccharide-1-P 4'-kinase	PF02606.16	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxK	LPS
tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	K00912	Tetraacyldisaccharide-1-P 4'-kinase	PF02606.17	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxK	LPS
Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]	K02517	Bacterial lipid A biosynthesis acyltransferase	PF03279.15	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxL	LPS
Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]	K02517	Bacterial lipid A biosynthesis acyltransferase	PF03279.16	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxL	LPS
lauroyl-Kdo2-lipid IVA myristoyltransferase [EC:2.3.1.243]	K02560	Bacterial lipid A biosynthesis acyltransferase	PF03279.15	M00060	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxM	LPS
lauroyl-Kdo2-lipid IVA myristoyltransferase [EC:2.3.1.243]	K02560	Bacterial lipid A biosynthesis acyltransferase	PF03279.15	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxM	LPS
lauroyl-Kdo2-lipid IVA myristoyltransferase [EC:2.3.1.243]	K02560	Bacterial lipid A biosynthesis acyltransferase	PF03279.16	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxM	LPS
lauroyl-Kdo2-lipid IVA myristoyltransferase [EC:2.3.1.243]	K02560	Bacterial lipid A biosynthesis acyltransferase	PF03279.16	M00060	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxM	LPS
UDP-N-acetylglucosamine 2-epimerase (hydrolysing) [EC:3.2.1.183]	K24257	UDP-N-acetylglucosamine 2-epimerase	PF02350.22	M00922	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.neuC	LPS
UDP-N-acetyl-L-fucosamine synthase [EC:5.1.3.28]	K24258	UDP-N-acetylglucosamine 2-epimerase	PF02350.21	M00923	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.neuC	LPS
lipid A 3-O-deacylase [EC:3.1.1.-]	K09953	Uncharacterized protein conserved in bacteria (DUF2219)	PF09982.12	M00867	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.pagL	LPS
"UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase [EC:4.2.1.115 5.1.3.-]"	K15894	Polysaccharide biosynthesis protein	PF02719.17	M00923	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.pseB	LPS
"UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase [EC:4.2.1.115 5.1.3.-]"	K15894	Polysaccharide biosynthesis protein	PF02719.18	M00923	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.pseB	LPS
ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]	K03274	NAD dependent epimerase/dehydratase family	PF01370.23	M00064	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.rfaD	LPS
ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]	K03274	NAD dependent epimerase/dehydratase family	PF01370.24	M00064	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.rfaD	LPS
		O-antigen ligase like membrane protein	PF13425.8			LPS.rfaL.like	LPS
O-antigen biosynthesis protein [EC:2.4.1.-]	K20444	Glycosyl transferase family 2	PF00535.29			LPS.rfbC	LPS
3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	K02527	3-Deoxy-D-manno-octulosonic-acid transferase (kdotransferase)	PF04413.18	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.waaA	LPS
3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	K02527	3-Deoxy-D-manno-octulosonic-acid transferase (kdotransferase)	PF04413.19	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.waaA	LPS
O-antigen ligase [EC:2.4.1.-]	K02847	O-Antigen ligase	PF04932.18			LPS.waaL	LPS
O-antigen ligase [EC:2.4.1.-]	K02847	O-Antigen ligase	PF04932.17			LPS.waaL	LPS
"UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase [EC:1.1.1.367]"	K19068	NAD dependent epimerase/dehydratase family	PF01370.23	M00923	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.wbjC	LPS
O-antigen biosynthesis protein WbqP	K13012	Bacterial sugar transferase	PF02397.18			LPS.WbqP	LPS
O-antigen biosynthesis protein WbqP	K13012	Bacterial sugar transferase	PF02397.19			LPS.WbqP	LPS
O-antigen polymerase [EC:2.4.1.-]	K13009	"Virulence factor membrane-bound polymerase, C-terminal"	PF11846.10			LPS.wzy	LPS
O-antigen polymerase [EC:2.4.1.-]	K13009	"Virulence factor membrane-bound polymerase, C-terminal"	PF11846.11			LPS.wzy	LPS
long-chain-fatty-acyl-CoA reductase [EC:1.2.1.50]	K03400	Acyl-CoA reductase (LuxC)	PF05893.16			LuxC	lux.operon
long-chain-fatty-acyl-CoA reductase [EC:1.2.1.50]	K03400	Acyl-CoA reductase (LuxC)	PF05893.17			LuxC	lux.operon
long-chain-fatty-acid---luciferin-component ligase [EC:6.2.1.19]	K06046	"Acyl-protein synthetase, LuxE"	PF04443.14			LuxE	lux.operon
long-chain-fatty-acid---luciferin-component ligase [EC:6.2.1.19]	K06046	"Acyl-protein synthetase, LuxE"	PF04443.15			LuxE	lux.operon
"two-component system, autoinducer 1 sensor kinase/phosphatase LuxN [EC:2.7.13.3 3.1.3.-]"	K15850	Response regulator receiver domain	PF00072.26			LuxN	lux.operon
"two-component system, autoinducer 1 sensor kinase/phosphatase LuxN [EC:2.7.13.3 3.1.3.-]"	K15850	"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"	PF02518.28			LuxN	lux.operon
"two-component system, autoinducer 1 sensor kinase/phosphatase LuxN [EC:2.7.13.3 3.1.3.-]"	K15850	Response regulator receiver domain	PF00072.27			LuxN	lux.operon
"two-component system, repressor protein LuxO"	K10912	Sigma-54 interaction domain	PF00158.28			LuxO	lux.operon
"two-component system, repressor protein LuxO"	K10912	Sigma-54 interaction domain	PF00158.29			LuxO	lux.operon
autoinducer 2-binding periplasmic protein LuxP	K10910	Periplasmic binding protein domain	PF13407.8			LuxP	lux.operon
autoinducer 2-binding periplasmic protein LuxP	K10910	Periplasmic binding protein domain	PF13407.9			LuxP	lux.operon
autoinducer 2-binding periplasmic protein LuxP	K10910					LuxP	lux.operon
"two-component system, autoinducer 2 sensor kinase/phosphatase LuxQ [EC:2.7.13.3 3.1.3.-]"	K10909	"LuxQ, periplasmic"	PF09308.12			LuxQ	lux.operon
"two-component system, autoinducer 2 sensor kinase/phosphatase LuxQ [EC:2.7.13.3 3.1.3.-]"	K10909	"LuxQ, periplasmic"	PF09308.13			LuxQ	lux.operon
"two-component system, autoinducer 2 sensor kinase/phosphatase LuxQ [EC:2.7.13.3 3.1.3.-]"	K10909	"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"	PF02518.29			LuxQ	lux.operon
"two-component system, autoinducer 2 sensor kinase/phosphatase LuxQ [EC:2.7.13.3 3.1.3.-]"	K10909	CHASE3 domain	PF05227.16			LuxQ	lux.operon
"LuxR family transcriptional regulator, transcriptional activator of the bioluminescence operon"	K15852	Autoinducer binding domain	PF03472.17			LuxR	lux.operon
"LuxR family transcriptional regulator, transcriptional activator of the bioluminescence operon"	K15852	Autoinducer binding domain	PF03472.18			LuxR	lux.operon
"LuxR family transcriptional regulator, csgAB operon transcriptional regulatory protein"	K04333	"Bacterial regulatory proteins, luxR family"	PF00196.22			LuxR.csgAB	lux.operon
"LuxR family transcriptional regulator, glucitol operon activator"	K16247	NB-ARC domain	PF00931.24			LuxR.gutR	lux.operon
"LuxR family transcriptional regulator, maltose regulon positive regulatory protein"	K03556	MalT-like TPR region	PF17874.3			LuxR.MalT	lux.operon
"LuxR family transcriptional regulator, maltose regulon positive regulatory protein"	K03556	MalT-like TPR region	PF17874.4			LuxR.MalT	lux.operon
"two-component system, LuxR family, response regulator TtrR"	K13041	Response regulator receiver domain	PF00072.26			LuxR.TtrR	lux.operon
"two-component system, LuxR family, response regulator TtrR"	K13041	Response regulator receiver domain	PF00072.27			LuxR.TtrR	lux.operon
"two-component system, LuxR family, sensor histidine kinase TtrS [EC:2.7.13.3]"	K13040	"ABC transporter, phosphonate, periplasmic substrate-binding protein "	PF12974.9			LuxR.TtrS	lux.operon
"two-component system, LuxR family, sensor histidine kinase TtrS [EC:2.7.13.3]"	K13040	"ABC transporter, phosphonate, periplasmic substrate-binding protein "	PF12974.10			LuxR.TtrS	lux.operon
"LuxR family transcriptional regulator, positive regulator of biofilm formation"	K20918	"Bacterial regulatory proteins, luxR family"	PF00196.21			LuxR.vpsT	lux.operon
"LuxR family transcriptional regulator, positive regulator of biofilm formation"	K20918	"Bacterial regulatory proteins, luxR family"	PF00196.22			LuxR.vpsT	lux.operon
S-ribosylhomocysteine lyase [EC:4.4.1.21]	K07173	S-Ribosylhomocysteinase (LuxS)	PF02664.17	M00609	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	LuxS	lux.operon
S-ribosylhomocysteine lyase [EC:4.4.1.21]	K07173	S-Ribosylhomocysteinase (LuxS)	PF02664.18	M00609	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	LuxS	lux.operon
		Tetracycline repressor LuxT C-terminal domain	PF18285.3			LuxT	lux.operon
		Tetracycline repressor LuxT C-terminal domain	PF18285.4			LuxT	lux.operon
"two-component system, phosphorelay protein LuxU"	K10911	Hpt domain	PF01627.25			LuxU	lux.operon
"two-component system, phosphorelay protein LuxU"	K10911	Hpt domain	PF01627.26			LuxU	lux.operon
MSHA pilin protein MshA	K10924	Prokaryotic N-terminal methylation motif	PF07963.14			MSHA.MshA	MSHA.pili
MSHA pilin protein MshA	K10924	Prokaryotic N-terminal methylation motif	PF07963.15			MSHA.MshA	MSHA.pili
MSHA pilin protein MshA	K10924					MSHA.MshA	MSHA.pili
MSHA pilin protein MshB	K10925	Prokaryotic N-terminal methylation motif	PF07963.14			MSHA.MshB	MSHA.pili
MSHA pilin protein MshB	K10925	Prokaryotic N-terminal methylation motif	PF07963.15			MSHA.MshB	MSHA.pili
MSHA pilin protein MshB	K10925					MSHA.MshB	MSHA.pili
MSHA pilin protein MshC	K10926	Prokaryotic N-terminal methylation motif	PF07963.14			MSHA.MshC	MSHA.pili
MSHA pilin protein MshC	K10926	Prokaryotic N-terminal methylation motif	PF07963.15			MSHA.MshC	MSHA.pili
MSHA pilin protein MshD	K10927	Prokaryotic N-terminal methylation motif	PF07963.14			MSHA.MshD	MSHA.pili
MSHA pilin protein MshD	K10927	Prokaryotic N-terminal methylation motif	PF07963.15			MSHA.MshD	MSHA.pili
MSHA pilin protein MshD	K10927					MSHA.MshD	MSHA.pili
MSHA biogenesis protein MshE	K12276	Type II/IV secretion system protein	PF00437.22			MSHA.MshE	MSHA.pili
MSHA biogenesis protein MshE	K12276	Type II/IV secretion system protein	PF00437.23			MSHA.MshE	MSHA.pili
MSHA biogenesis protein MshF	K12277					MSHA.MshF	MSHA.pili
MSHA biogenesis protein MshG	K12278	"Type II secretion system (T2SS), protein F"	PF00482.25			MSHA.MshG	MSHA.pili
MSHA biogenesis protein MshG	K12278	"Type II secretion system (T2SS), protein F"	PF00482.26			MSHA.MshG	MSHA.pili
MSHA biogenesis protein MshI	K12279					MSHA.MshI	MSHA.pili
MSHA biogenesis protein MshI	K12279	Fimbrial assembly protein (PilN)	PF05137.16			MSHA.MshI	MSHA.pili
MSHA biogenesis protein MshJ	K12280	"Pilus assembly protein, PilO"	PF04350.15			MSHA.MshJ	MSHA.pili
MSHA biogenesis protein MshJ	K12280	"Pilus assembly protein, PilO"	PF04350.16			MSHA.MshJ	MSHA.pili
MSHA biogenesis protein MshJ	K12280	"Type II secretion system (T2SS), protein M"	PF04612.14			MSHA.MshJ	MSHA.pili
MSHA biogenesis protein MshJ	K12280	"Type II secretion system (T2SS), protein M"	PF04612.15			MSHA.MshJ	MSHA.pili
MSHA biogenesis protein MshJ	K12280					MSHA.MshJ	MSHA.pili
MSHA biogenesis protein MshK	K12281					MSHA.MshK	MSHA.pili
MSHA biogenesis protein MshL	K12282	Bacterial type II and III secretion system protein	PF00263.23			MSHA.MshL	MSHA.pili
MSHA biogenesis protein MshL	K12282	Bacterial type II and III secretion system protein	PF00263.24			MSHA.MshL	MSHA.pili
MSHA biogenesis protein MshM	K12283	AAA domain	PF13401.8			MSHA.MshM	MSHA.pili
MSHA biogenesis protein MshM	K12283	AAA domain	PF13401.9			MSHA.MshM	MSHA.pili
